job title,description,company,salary range,url
IT Intern,"We are seeking a talented and motivated IT intern to join our team as an AI Research and Development Intern. As an intern, you will primarily focus on researching and coding artificial intelligence (AI) solutions. This is an excellent opportunity to gain hands-on experience in the field of AI while working alongside a team of experienced professionals.Responsibilities:Conduct research on various AI technologies, algorithms, and methodologiesCollaborate with the team to understand project requirements and goalsDevelop and implement AI models, algorithms, and solutionsCollect, clean, and analyse data for AI training and validation purposesTest and evaluate AI models for performance and accuracyAssist in documenting and reporting research findings and project progressStay updated with the latest advancements and trends in AI technologyRequirements:Currently pursuing a degree in Computer Science, Information Technology, or a related fieldStrong interest and passion for artificial intelligence and machine learningProficiency in programming languages such as javascript, javaFamiliarity with data analysis and data visualisation toolsExcellent problem-solving and analytical skillsStrong communication and teamwork abilitiesAbility to work independently and take initiative",YouApp Pte Ltd,"$800 - 1,500 monthly",https://www.internsg.com/job/youapp-pte-ltd-it-intern-3/?f_p=107&f_i&filter_s
Equipment Development AI Intern,"About our group:The Equipment Development Engineering group (EDE) of Seagate Technology is expanding the team! We welcome aspiring Automation Alchemist Enthusiasts to check out this awesome opportunity!Our vision is to innovate and develop advanced intelligent automated manufacturing equipment solutions that can sense, analyze, and make smart decisions by themselves.The EDE is a fully integrated equipment development team; we design and develop precision and fully automated assembly equipment and vision inspection machines. The team is made up of a strongly cohesive high performing team of design talents with a diversity of talents specialized in mechanical, embedded systems, electrical, software, and vision disciplines.We strive to constantly incorporate IIOT, AI, machine learning image, and data analytics solutions into all our development enabling our equipment to realize factory smart intelligence thus creating a high-tech future-ready plant.We seek dedicated, motivated, and creative talented teammates, who take up the new automation directives to provide turnkey solutions, integrating functionality, automation & intelligence for Drive Assembly, Drive Test, Heads, Media Manufacture Automation & Enterprise Data Solutions.Many of our designs have won a variety of innovation awards, and patents on both Company and International levels. We welcome any interested candidates that possess this mindset to embark on this exciting journey in challenging the future roadmaps.About the role - you will:To assist in designing and developing machine learning models and algorithms tailored for equipment development as in image AI analytics.Perform fine tuning and optimization for performance scalability, and reliability within equipment development domain.About you:Self-motivated and process strong learning towards new technology and skillsetsA positive mindset with a can-do attitude to challenge the impossibleGood organizational and time management skillsAble to effectively work remotely.Your experience includes:Preferable with Electrical and Electronics Engineering, Computer Engineering, or other similar /equivalent engineering backgroundFamiliar with Microsoft Office (Word/PowerPoint/Excel)Knowledge in Python programming or other machine learning framework.Self-motivated, independent and a team player with strong analytical skillsExperience on data science and AI technology thru past projects shall be favorable.Interest in transforming data science prototypes into production-ready solutions.Bachelor student and/or equivalent experienceLocation:Our Woodlands site is one of the largest electronics manufacturing sites in Singapore, housing our recording media operations. Spread over three sites, it is easily accessible via bus or from the MRT Station, with many employees taking mass transportation to work. Here at work, you can enjoy breakfast, lunch, dinner, and snacks at our onsite canteen and coffee shop. We offer a range of facilities including an in-house gym and dance studio, as well as after-work badminton and table tennis competitions. On-site celebrations and community volunteer opportunities also abound.",Seagate Technology,"$1,300 monthly",https://www.internsg.com/job/seagate-technology-equipment-development-ai-intern/?f_p=107&f_i&filter_s
AI Intern,"Our team is made up of people from diverse backgrounds and experiences, united by a common goal of connecting people in a meaningful way. We value innovation, creativity, and teamwork, and we are committed to creating a work environment that fosters growth and development. Download and try our app at our website: https://youapp.aiJob DescriptionAs an AI/ML research intern, you will be part of our team focused on exploring and implementing the latest AI technologies and machine learning techniques. Your primary responsibility will be to conduct research, identify cutting-edge technologies, and provide recommendations on how YouApp can leverage them effectively. Additionally, you will contribute to writing papers and documentation outlining the use of these technologies in the context of YouApp.ResponsibilitiesConduct research on AI and machine learning technologies relevant to YouApp's objectives.Identify areas where AI can be applied to enhance YouApp's features and functionality.Write papers and documentation on recommendations for the application of AI/ML technologies in YouAppStay up-to-date with the latest advancements of AI/ML and make recommendations for how YouApp can continue to innovate in this areaAny other miscellaneous tasks.RequirementsCurrently pursuing a degree in Computer Science, Data Science, or a related fieldStrong interest in artificial intelligence, machine learning, and related fieldsFamiliarity with programming languages such as Python or JavaExcellent research and analytical skillsStrong communication skillsPrevious experience in AI/ML research or related fields is a plus.",YouApp Pte Ltd,"$800 - 1,500 monthly",https://www.internsg.com/job/youapp-pte-ltd-ai-intern-2/?f_p=107&f_i&filter_s
Student Intern - UI / Frontend Engineer,"We are seeking a talented Student Intern to develop the UI for a new project monitoring Smart contracts using MultiBaas as the backend engine. This internship offers hands-on experience in Web3 and software development.Responsibilities:- Design and prototype UI components, screens, and workflows- Learn to interface with MultiBaas APIs- Collaborate with designers, product managers, and developers to ensure design consistency and feasibility- Create design documentation, design systems, and code- Participate in design reviews and provide constructive feedback- Deliver the final productRequirements:- Undergraduate student at a Singapore higher institute of learning- Self motivated and diligent- Proficient in design tools like Figma, Sketch, or similar- Familiarity with front-end development and HTML/CSS- Basic understanding of design principles, human-centered design, and user experienceWhat We Offer:- Opportunity to work on real-world projects- Opportunity to work with a leading Web3 software company on a new product- Stipend of SGD 1000-1500 per month and if satisfactory, a reference letter- Flexible working conditions and hours (remote work)",Curvegrid,"$1,000 - 1,500 monthly",https://www.internsg.com/job/curvegrid-student-intern-ui-frontend-engineer/?f_p=107&f_i&filter_s
Data Engineer,"Flexible working optionsLeadership RoleGreat work environmentThe JobYou will be responsible for :Developing scripts to process structured and unstructured data.Recommending, developing and implementing ways to improve data reliability, efficiency and quality.Supporting translation of data business needs into technical system requirements.Working with stakeholders to understand needs in order with respect to data structure, availability, scalability and accessibility.Designing and setting up Hadoop cluster in line with current and future needs.Development and troubleshooting on Hadoop technologies.Extraction, transformation, loading and integration of data from various sources.Monitoring Hadoop cluster for performance and capacity planning.Providing expertise on the various components & features of the Hadoop ecosystem (such as Spark, Map/Reduce, YARN, Hive, Pig, Impala/Drill etc.).Ideal CandidateYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 2 years experience, ideally within a Data Engineer role.Demonstrated experience working with large and complex data sets as well as experience analyzing volumes of data.You have working knowledge of CFD and iGamingYou possess strong analytical skills and are comfortable dealing with numerical dataYou pay strong attention to detail and deliver work that is of a high standardYou are adaptable and thrive in changing environmentsRef: 1SQA1Q67LQ",Snaphunt Pte Ltd,"$3,000 - 3,500 monthly",https://www.internsg.com/job/snaphunt-pte-ltd-data-engineer-9/?f_p=107&f_i&filter_s
Solutions Architect,"Your RoleThe Solutions Architect will be responsible for translating business requirements into scalable, secure, and efficient technical solutions. This role requires a deep understanding of both business and technology to design solutions that align with organizational goals and objectives. The Solutions Architect will collaborate with various stakeholders, including business leaders, developers, and infrastructure teams, to ensure successful implementation and delivery of solutions.Key ResponsibilitiesPre-Sales- Act as a subject matter expert on various technologies and platforms within the organization.- Collaborate with business stakeholders to understand their requirements and objectives.- Design and propose end-to-end technical solutions that address business needs while considering scalability, security, and performance.- Create architecture diagrams, technical specifications, and documentation to communicate solution designs effectively.Project Management- Lead the implementation and deployment of solutions, working closely with development teams and infrastructure engineers.- Provide technical guidance and support to development teams throughout the project lifecycle.- Collaborate with vendors and third-party providers to evaluate and integrate external solutions as needed.- Conduct regular reviews and assessments of solution architecture to ensure alignment with business goals and industry best practices.Others- Evaluate existing systems and infrastructure to identify areas for improvement or optimization.- Stay updated on emerging technologies and trends in the field of solution architecture.Required Skills- Bachelor's degree in Computer Science, Information Technology, or related field.- Proven experience as a Solutions Architect or similar role in a technology-driven organization.- In-depth knowledge of cloud computing platforms such as AWS, Azure, or Google Cloud.- Strong understanding of software development methodologies, architecture patterns, and best practices.- Proficiency in designing and implementing scalable and resilient systems.- Excellent communication and interpersonal skills, with the ability to articulate complex technical concepts to non-technical stakeholders .- Experience with agile development methodologies and DevOps practices.- Strong problem-solving and analytical skills.- Ability to work effectively both independently and as part of a team.- Certifications such as AWS Certified Solutions Architect, Azure Solutions Architect Expert, or Google Cloud Certified - Professional Cloud Architect are a plus.DSTNCT reserves the right to modify this job description by giving written notice to you.",DSTNCT Pte Ltd,"$4,000 - 5,000 monthly",https://www.internsg.com/job/dstnct-pte-ltd-solutions-architect/?f_p=107&f_i&filter_s
Business Development Representative Intern,"As aBusiness Development Representative Intern, you will be part of a rapidly growing team and will have global support for a talented and successful global sales team. You will be the first point of contact for prospects arriving from our demand generation programs as well as outbound efforts. You would be a key part of the foundation of our Singapore business and will have an opportunity to make an immediate impact on the success of this expansion.You'll help our customer drive digital innovation by:Source for Sales Qualified LeadsSupport the business development representativesSetting up outbound calling campaignsWorking booth during eventsSetting appointments with prospectsYou're the innovator we need if you have:Excellent phone (primary) and written communication skills, ideally with working proficiency in multiple languagesThe desire to master this role and take on new challengesIf you see a job description and think, “I’d be perfect for that” but your experience doesn’t align perfectly with the qualifications – don’t let that hold you back. We’re always eager to hire talented, passionate candidates – so give it a try and apply.",Mendix,"$700 - 1,000 monthly",https://www.internsg.com/job/mendix-business-development-representative-intern/?f_p=107&f_i&filter_s
Service Desk,"Service Desk | Cert Provided | No experience required | Singaporean onlyResponsibilities:To provide accessible, timely, effective, efficient, and professional quality service to resolve problems and to delight.Be available to take calls.Prompt response to queries via voicemail / email / fax.Accurate assessment/ resolution of problems.Provide first level support to troubleshoot and solve technical problems.Incident tracking and first & second level resolution for all trouble calls, including those related to desktop, LAN, centralized infrastructure, Wide Area Network, and voice services related service requests.Coordination for employee user account administration, activation, changes, and terminations.Receive and answer all users' IT service request calls.Requirements:Candidate must possess at least Nitec/Higher Nitec in any fieldIT Savy, good understanding on Windows, Email system, Network Connectivity and basic L1 troubleshooting.Possesses good communication skillsAble to perform in stressful environment (Call Center)Singaporean onlyOthers:5.5 days, required to working on Sat/Sun day, half day.",Alpheaus Pte Ltd,"$2,000 - 2,500 monthly",https://www.internsg.com/job/alpheaus-pte-ltd-service-deskcert-provided-no-experience-required-singaporean-only/?f_p=107&f_i&filter_s
Product Performance Intern,"Key Responsibilities:- Assist in designing and implementing tests, debugging, and defining corrective actions.- Review system requirements and track quality assurance metrics- Participate in the development of automated test scripts and tools.- Execute test cases (manual or automated) and analyse results.- Report bugs and errors via project management tools to development teams and help troubleshoot issues.- Conduct post-release/post-implementation testing.- Work with cross-functional teams to ensure quality throughout the software development lifecycle.- Document and summarise test results and provide regular updates to the QA and development teams.- Participate in continuous improvement initiatives to enhance testing efficiency and effectiveness.Qualifications:- Currently enrolled in a Bachelor’s or Master’s degree program in Computer Science, Engineering, or a related field.- Basic understanding of software product/project management methodologies, tools, and processes.- Strong analytical skills and attention to detail.- Excellent communication and teamwork abilities.- A genuine interest in software development and quality assurance.Learning Opportunities:- Gain practical experience with the latest product/project management technologies and tools.- Participate in professional development workshops and team meetings.- Contribute to meaningful projects that impact our customers and products.- Receive mentorship and guidance to advance your career in software quality assurance.- Exposure to working with web applications and native mobile applications.",HomePaySG,"$800 - 1,200 monthly",https://www.internsg.com/job/homepaysg-product-performance-intern/?f_p=107&f_i&filter_s
IT Internship,"Job Scope:Minor support the IT team in maintaining hardware, software, and other systemsAssist with troubleshooting issues and provide technical supportOrganize and maintain IT resourcesMinor IT support in areas such as cybersecurity, programming, analytics, and data center managementMajor in any programming language or familiar with Visual Basic, Java, .NET, JavaScript or HTML/DHTML and Microsoft Office SuiteAnalyzing data to recommend improvements to existing systems or processesRequirements:Must be enrolled at a college/university with a major in Information Technology, Computer Science, or Management Information Systems and maintain a 2.5/4.0 averageStrong work ethic and attention to detailExcellent analytical and problem-solving skills with good programming logicWilling to learn and able to work under pressureStrong communication skills",Dimerco Express Singapore Pte Ltd,"$700 - 1,200 monthly",https://www.internsg.com/job/dimerco-express-singapore-pte-ltd-it-internship-11/?f_p=107&f_i&filter_s
