Job Title,Company,Salary,Job Type,Location,Job Description,Posted Date,Today Date,Listing Date
"Technical Business Analyst
",OPENSOURCE PTE. LTD.,"$3,500 - $6,500 a month ", Contract,Singapore,"Job Description:

Conduct requirements gathering from users and business owners, analyze the requirements and then translate these into technical requirements for the developers.
Advise on the application designs for better user experience.
Test and validate the enterprise applications and systems developed.
At least 1 year of hands-on experience working with enterprise systems such as SAP, and MS Dynamics.
Knowledge in (a) development and testing practices like Unit Testing, Load Testing, System Integration Testing, and User Acceptance Testing (b) UX/UI Design (c) Waterfall/Agile Development Cycle
Able to work both independently as well as with a team.",PostedPosted 1 day ago,2024-03-21,2024-03-20 00:00:00
"IT APPLICATION BUSINESS ANALYST (BA)
",ALPHAEUS PTE. LTD.,"$7,000 - $8,000 a month ", Contract,Singapore,"Scope of Service
a. Advise on viability, feasibility, and impact of policy/business changes on systems.
b. Elicit, analyse, and document business and information needs which can be supported by the proposed platform as user stories.
c. Translate business requirements into technical requirements.
d. Participates in product backlog creation, Product Backlog refinement, and sprint planning with Product Owner and Project Team.
e. Works with Project Teams to resolve issues and ensure defects are rectified according to requirements specifications timely.

Work Experience
a. The BA shall have at least a Diploma, with at least three (3) years’ experience as a Business Analyst, Scrum Master, Product Owner or equivalent in Agile projects.
b. The BA shall be a Certified Scrum Product Owner or Certified Scrum Master or equivalent.
c. BAs who graduated from Business School, Computer Science, Information Technology, and other Engineering discipline would be advantageous.

Technical Skillset
a. BA with knowledge and experience in Salesforce, SaaS, CRM will be an added advantage.
b. BA with knowledge and experience in AWS, APEX coding and DevOps will be an advantage.

General Skillset
a. BA with strong analytical, conceptualisation and problem-solving skills will be an added advantage.
b. BA with ability to thrive in a highly agile and iterative environment and translate business requirements into user journeys and technical requirements.
c. Be efficient in the documentation of minutes for requirement studies and functional requirements specifications.
d. BA with experience in applying Design Thinking principles from ideation to the completion of the project will be an advantage.
e. BA with experience in developing prototypes using visual mock-ups, wireframe, etc.
f. BA with experience in defining the user interface and user experience of the product will be an advantage.
g. BA with change management skills to facilitate the users to product adoption and new ways of working will be an advantage.
h. BA with strong verbal and written communication skills in stakeholders’ engagement will be an advantage.",PostedPosted 1 day ago,2024-03-21,2024-03-20 00:00:00
"Digital Product Analyst
",T. Rowe Price,,Full-time,Singapore,"There is a place for you at T. Rowe Price to grow, contribute, learn, and make a difference. We are a premier asset manager focused on delivering global investment management excellence and retirement services that investors can rely on today and in the future. The work we do matters. We invite you to explore the opportunity to join us and grow your career with us.
POSITION PURPOSE
Come join a high-impact team that is focused on building out capabilities for our APAC investor websites to help drive business growth and market leading client experiences. As a Product Analyst, this person will be responsible for collecting data and conducting analysis in support of a digital product team focused on delivering experiences that drive our strategic business goals. They will gather and organize product/services data, user stories, and features to support prioritization of the product backlog, and analyze collected information to inform the development of enablement tools/tactics.
This is a unique opportunity to bridge business needs and technical solutions to help T. Rowe Price progress in digital capability maturity for our APAC markets.
Principal Responsibilities
Solutions Delivery—Supports refinement activities within a product team, specifically defining and writing user stories, acceptance criteria, and user interface design for platform and product enhancements; activities to include obtaining acceptance and alignment from stakeholders for the recommended enhancements, documenting requirements along with prioritization, user acceptance testing, and working with technology teams to deliver enhancements that generate business value.
Assessing Client Experience—Analyzes user behavior and feedback to validate that products work as desired relative to key performance indicators. Regularly reviews quantitative and qualitative performance indicators, including operational metrics, client surveys, direct client feedback, and associate feedback, escalating issues to product owners as necessary. Leverages understanding of competitive landscape to identify and propose changes to enhance experience.
Business Analytics — Provides consultative support to product owners and other stakeholders as it relates to existing and potentially new deliverables to enhance client experiences. Shares findings and provides business insight to product owners as needed. Works closely with platform analysts to interpret data and uses insight to inform necessary changes.
PERSONAL ATTRIBUTES / SKILLS / QUALIFICATIONS
Required
Bachelor's degree or the equivalent combination of education and relevant experience
2+ years of total relevant work experience
Experience in Agile Development methodologies
Preferred
Experience in the investment management/financial services industry
Strong technical skills in using Adobe Experience Manager Content Management Systems (CMS), or in other CMS
Commitment to Diversity, Equity, and Inclusion:
We strive for equity, equality, and opportunity for all associates. When we embrace the power of diversity and create an environment where people can bring their authentic and best selves to work, our firm is stronger, and we create greater value for our clients. Our commitment and inclusive programming aim to lift the experience for each associate and builds allies for our global associate community. We know that a sense of belonging is key not only to your success at the firm, but also to your ability to bring your best each day.
T. Rowe Price is an equal opportunity employer and values diversity of thought, gender, and race. We believe our continued success depends upon the equal treatment of all associates and applicants for employment without discrimination on the basis of race, religion, creed, colour, national origin, sex, gender, age, mental or physical disability, marital status, sexual orientation, gender identity or expression, citizenship status, military or veteran status, pregnancy, or any other classification protected by country, federal, state, or local law.",PostedPosted 1 day ago,2024-03-21,2024-03-20 00:00:00
"Technical Business Analyst
",ELLIOTT MOSS CONSULTING PTE. LTD.,"$6,000 - $7,000 a month ", Contract,Singapore,"Description:
Perform business analysis and/or acting as point of contact with external vendors/integrators and various business representatives
Ensuring the quality of deliverables from the integrators, involving thorough review, feedback, and alignment with business stakeholders on respective areas
Responsible for enhancing the product backlog with detailed specifications
Clarify and communicate the specifications to all the relevant stakeholders involved
Responsible for gathering and analyzing user requirement and impact analysis during Project preparation phase
Producing / reviewing General/Detailed Functional Specification and communicating to project teams
Learns the system functions / data and is able to define the evolutions of the functional architecture
Responsible for proper documentation of functional and non-functional specifications
Review test cases of SIT tester
Prepare and support UAT
Ensure that risks and issues iContribute to support / incident analysis as required
Contribute to defining and implementing a Target Operating Model (TOM) for business processes or adapting the system to meet the TOM defined for each business processes
bi• Any experience in IT transformation projects involving portfolio management system and/or Core banking applications
Good knowledge of Portfolio Management, Advisory, Risk modelling and Optimization functions is added advantage
Good knowledge of Order Life Cycle and related functions
JIRA and Confluence knowledge is required
Detail oriented and good documentation skill is required
Ability to work in a multicultural environment (Asia + Europe)
Good presentation skills
Knowledge about REST API design standards, patterns and best-practices
REST API development experience is a plus
Experienced in Waterfall and Scrum methodology
Ability to work in fast-paced environments
High level of professionalism, patience and maturity
Team player
Temenos Triple’A knowledge is REQUIRED
Banking knowledge related to Wealth Management / Private banking is a plus
Design Thinking knowledge is a plus
Cybersecurity knowledge is a plus

Certified product owner or scrum master certification is a plus
Bachelor’s Degree or equivalent experience required
Agile SAFe Practitioner is a plus",PostedPosted 1 day ago,2024-03-21,2024-03-20 00:00:00
"SAP FICO Business Analyst
",Rapsys Technologies,"$3,620.11 - $10,532.24 a month "," Full-time, Contract",Marina Boulevard,"Description:
SAP FICO Business Analyst
Responsible for build activities to design, implement, and maintain core solutions within SAP systems and with other enterprise applications in Finance domain in TR APAC.
Require a deep knowledge of SAP Finance and Controlling, as well as a strong grasp of enterprise architecture and integration principles.
Support on demand assessment and analyze the impact of new solutions on Business and IT processes.
Focus on project activities which include planning, effort estimate (internal / external resources), alignment with business leads and key stakeholders, key users, proper communication as well as hands-on work such as solution design, configuration, training, testing activities management, cutover and hyper care.
Manage D2E (Demands to Enhancements) and ensure the quality of deliverables.
Lead and drive small and medium-size enhancements for SAP changes, group initiatives, group/Zone application (eg. Group P&L Revamp, Readsoft, CONCUR, MyMarket, Anaplan, Winshuttle etc) and cross function and integration projects
Work as Level 3 Support to resolve incidents within defined SLA if required.
Work with SAP Support partner to identify recurring issues and resolve at root cause level.
Document and transfer knowledge to business on how to resolve recurring issues.
Coordinate the different actors involved in the project/demands/incidents, from IT to Business.
Create a positive value-added relationship with all stakeholders.
Technical Competencies
Bachelor's degree in Computer Science, Information Systems, or related field.
Minimum of 5-8 years of experience in SAP end to end implementation, integration, and cross services.
Strong functional and technical experience of SAP FICO and strong understanding of integration with SAP-SD and MM.
Strong understanding of SAP products and services, including SAP ERP, SRM, SAP related tools and integration with other applications (HIP, API)
Professional Competencies
Ability to manage prioritization and multiple priorities.
Ability to work effectively with people in different zones/cultures.
Excellent problem-solving capabilities with strong communication skills and teamwork.
Self-motivation, ownership, driving tasks.
Proactive, problem solver and influencing skills.
Ability to listen/decode business needs.
Ability to handle multiple tasks independently.
Ability to work within stringent deadlines.
Fluency in English
Job Types: Full-time, Contract
Contract length: 6 months
Salary: $3,620.11 - $10,532.24 per month
Experience:
business_analysis: 4 years (Preferred)
SAP FICO: 4 years (Preferred)",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
Associate Business Analyst ,SYNAPXE PTE. LTD.,"$5,800 - $7,800 a month ", Full-time,Singapore,"Job Description:
Provide on-going application support and be involved in various stages of the SDLC with lead project teams.
Perform user requirement analysis for the development / implementation of new systems and/or enhancements to existing systems.
Evaluate potential solutions and make recommendations to resolve business problems.
Involvement in the system integration testing phase prior to implementation.
Plan and coordinate end-user training for any system implementations or enhancements.
Liaise closely with business users and build good rapport.
Liaise closely with project teams on test case reviews, application testing, supporting application patches and upgrades in accordance with project methodologies and policies.
Support the team in defining project requirements, tracking and documentation.
Provide 24/7 primary application maintenance support, rotational basis.
Liaise closely with interfacing systems users and support teams on routine support issues or enhancements.
Assist team in Change Approval Board and Pre-commissioning preparations.
Lead team and front users in problem investigations and resolutions.
Review Vendor SLA reports.
Create/Update SOPs.
Support transition phases from project to operations.
Requirements / Qualifications:
Successful track record in service management, user and vendor management (good to have).
Experience in MS Windows environment & application support.
Strong analytical skills and ability to work independently.
Experience in healthcare industry is an added advantage.
Degree in Computer Science, Computer Engineering or equivalent.
Experience in SAP Applications/Modules is an added advantage.",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
TikTok Shop ,TikTok,,,Singapore,"Responsibilities
About TikTok
TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok sponsorship of a visa.
---
TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.
---
Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.
---
About
The e-commerce industry has seen tremendous growth in recent years and has become a hotly contested space amongst leading Internet companies, and its future growth cannot be underestimated. With millions of loyal users globally, we believe TikTok is an ideal platform to deliver a brand new and better e-commerce experience to our users. We aim to bring discovery, inspiration, and joy back to shopping by making TikTok the commerce channel of choice for merchants, creators, and affiliates.With millions of loyal users globally, we believe TikTok is an ideal platform to deliver a brand new and better e-commerce experience to our users. We are looking for passionate and talented people to join our product and operations team, to build an e-commerce ecosystem that is innovative, secure and intuitive for our users and brands.
---
About the team
E-commerce's Governance and Experience (GNE) is a global team responsible for ensuring our marketplace is safe and trustworthy for not only our users, but also sellers and creators. We value user satisfaction and work on policies, rules and systems to ensure quality. We are looking for a Regional Business Analyst role who is responsible for building the metrics reporting system to help with business reviews and decision making. This position will provide key analytical, reporting, forecasting support for the group and will be responsible for developing reporting and variance analysis regarding weekly/monthly/bi-monthly statistics, provide support & recommendations regarding performance.
---
Responsibilities
Gather, analyze, and report information related to the current support processes.
Extend the data automated reporting solutions, and other proactive efforts that tie results to our overall business goals.
Create custom data analysis tools, applications, and data manipulation utilities for the team. Innovations will include tools that provide Key Performance Indicators (KPI) metrics across multiple data sources through the consolidation of tools and markets.
Provide summary reports on various processes, including volume forecasting.
Provide ample opportunity to analyze various operational aspects of our business, including data gathering to for determining strategic direction of the service delivery organization.
Assist in development of key business suggestions and review documents including internal and external business reviews.
Qualifications
Minimum Qualifications
BA/BS degree or equivalent practical experience.
3 years experience in business analysis and reporting management within Customer Service contact centre environment.
Have strong experience in deep analysis, push results and work effectively across teams.
Strong problem solving, strategic thinking, and presentation and communication skills in front of leadership.
Strong understanding of the processes, working knowledge of call center operations.
---
Preferred Qualifications
Have the ability to work independently and under pressure, and the ability to influence others without having direct authority.
Excellent written, verbal and interpersonal communication skills.
Experience in eCommerce or marketplace platforms is a plus.
---
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
---

#LI-Onsite",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
"Supply Chain Business Process Analyst
",HAL COMPLETIONS MFG PTE. LTD.,"$4,900 - $8,000 a month "," Permanent, Full-time",Singapore,"We are seeking a talented and detail-oriented Supply Chain Business Process Analyst to join our team. The successful candidate will be responsible for creating, implementing, and maintaining supply chain business processes, working closely with business partners to identify and prioritize process improvement opportunities. They will develop prototype user solutions to support those processes, obtain business sign-off on end-to-end process proposals, and collaborate with IT to define the technical solutions required.
Responsibilities:
Analyze supply chain processes to identify opportunities for improvement.
Assist senior management with business case development and project funding.
Prototype Solutions to simulate process improvement.
Collaborate with cross-functional teams to define and document project planning and key project milestone deliverables.
Define testing and success criteria for the new process.
Manage end user training activities and other management of change activities.
Develop, implement, and track relevant metrics and KPIs as defined in the business case
Develop and maintain documentation on supply chain processes and procedures.
Assist in the design and implementation of supply chain systems and tools.
Conduct training sessions for supply chain team members on new processes and tools.
Requirements:
Bachelor's degree in business, supply chain, or related field
2-5 years of experience in supply chain or operations
Strong analytical and problem-solving skills
Proficiency in data analysis tools
Excellent communication and interpersonal skills
Ability to work independently and collaboratively with cross-functional teams
Knowledge of supply chain management systems and tools
Demonstrated examples of Project management skills
Industry 4.0 competency with respect to implementation of standards across the enterprise
If you are a results-driven Supply Chain Business Process Analyst with a passion for driving process improvements and optimizing supply chain performance, we encourage you to apply for this exciting opportunity.",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
"Business Analyst (FX) – Japanese Bank
",ABeam Consulting (Singapore),,Full-time,Singapore,"About Us:
From business process re-engineering to global business expansion for Japanese corporations, Abeam Consulting has served our clients through more than 40 years of growth. With our vision of being the No. 1 global consulting firm from Asia, ABeam Consulting helps our clients take on the challenge of business transformation. With 4,400 consultants in Japan, and 3,100 in overseas offices concentrated in Asia, our 7,500 consultants and global alliance partners provide truly comprehensive services.

Responsibilities:
Facilitating the implementation of improvement actions to achieve adequate IT Service Management (ITSM) capabilities, including but not limited to:
Analyzing the workload of individual projects and tasks
Modifying the master schedule of each project accordingly
Collecting Business Requirements from business users and preparing associated documents (such as Business Requirement Definition documents and workflows), collaborating with business users to finalize the documents.
Reviewing System Functional Requirement documents
Planning and providing support for User Acceptance Testing (UAT)
Other tasks such as facilitating meetings, documentation, and proposing additional improvement initiatives.

Requirements:
At least 2 years of IT Service Management (ITSM) experience for IT projects
Min. 1 year experience in gathering and defining business requirements for financial industry IT project.
Over 1 year of experience in the Financial Industry
Proficient in documentation within project management contexts, including skills in PowerPoint, Excel, and Word.
Good understanding of IT Service Management (ITSM) principles, including knowledge of frameworks such as ITIL.
Good communication skills
Demonstrated experience in client-facing roles, with a proven ability to effectively engage and communicate with clients.
Experience working in a consulting firm is a plus.
Why Join Us
At ABeam Consulting, we place a strong emphasis on collaboration, and helping our employees grow and develop their skills, offering a supportive and empowering work environment. With a presence in multiple countries and a diverse range of clients, Abeam Consulting offers an exciting and dynamic workplace for individuals looking to build a career in consulting. Abeam Consulting has also recently joined SAP’s regional strategic partner initiative as their first regional partner in the region and has also been recognized by UiPath as a Diamond Partner in providing RPA solutions. With such accolades, we aim to continue driving enterprise and digital transformation initiatives in order to transform the way people work and communicate in the digital age. In addition, our industry team is working tirelessly in order to bring more solutions to the banking and finance sector.

We regret only shortlisted candidates will be notified.
Yfx9eXRy9F",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
"IT Business Analyst (Hybrid WFH, High Bonuses)
",Search Index,"$4,000 - $8,000 a month "," Permanent, Full-time",Singapore,"MNC
Attractive Bonuses
5-day Work Week
Job Scope:
Gather IT system/project requirements from end-users and translate it for programming team
Monitor IT project from inception till completion/handover
Making sure all project milestones are met/exceeded
Requirements:
At least a Diploma in computer science/IT or related certifications
Great communication & presentation skills
Meticulous and excel under pressure & deadlines
Those with more experience will be considered for senior roles
To apply, please include the following details inside your CV for faster processing:
Reasons for leaving each past & current employment
Salary drawn for each past & current employment
Expected Salary
Earliest availability date
We regret that only short-listed candidates will be contacted shortly.
Loh Puay Hwee David
EA License | 14C7092
EA Registration Number | R1766892
Job Types: Full-time, Permanent
Salary: $4,000.00 - $8,000.00 per month
Benefits:
Cell phone reimbursement
Dental insurance
Flexible schedule
Health insurance
Professional development
Work from home
Schedule:
Monday to Friday
Supplemental pay types:
Performance bonus
Yearly bonus
Work Location: In person",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
TikTok Shop ,TikTok,,,Singapore,"Responsibilities
About TikTok
TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok sponsorship of a visa.

TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.

About the team
E-commerce's Governance and Experience (GNE) is a global team striving to achieve full satisfaction from customers, promoting a sustainable and risk-free sales environment, and providing the perfect purchase experience. Service and Moderation Team (SMT) is part of the GNE organization. Our mission is to deliver trustworthy and excellent service experiences for every user of TikTok Shop. SMT is looking for a Regional Business Analyst role to be responsible for building the metrics reporting system to help drive business reviews and decision making. This position will provide key analytical, reporting, forecasting support for the group and will be responsible for developing reporting and variance analysis regarding weekly/monthly/bi-monthly statistics, provide support & recommendations regarding performance.

Responsibilities
Support in overall data requirements of e-commerce moderation, especially for quality control.
Structure and design core index; build and maintain data dashboard; monitor core index data abnormalities.
Identify potential operational requirements and opportunities for quality improvement through data analysis.
Adapt business analysis to the specific operational research questions and/or build up certain models by using a range of data sources and research methodologies.
Co-operate with QA leaders closely, take any kind of Data-analysis requests and complete within deadlines.
Work closely with cross-functional teams to build up insights and provide data analysis & business review reports or any other reports as required.
Follow up with Quality Assurance operations, supporting through data analysis and providing optimization suggestions.
Participate from a BA's perspective to provide inputs on different projects.
Qualifications
Minimum Qualifications
Bachelor's degree in a business field with a focus on quantitative or research methods.
3 years of experience as a Business Analyst or equivalent.
Proficient in Python and SQL to conduct statistical modeling or data analysis.
Ability to pick up domain knowledge in new areas quickly.
Strong multitasking and time management skills.
Preferred Qualifications
Graduate degrees in science, mathematics, computer, digital marketing or survey-based research methods.
Global business experience or analytical experience.
Excellent communication skills for global collaboration.
Familiar with the policy and moderation landscape.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

#LI-Onsite",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
"DIGITAL BUSINESS ANALYST (TECHNICAL)
",ALPHAEUS PTE. LTD.,"$6,500 - $8,000 a month "," Permanent, Contract",Singapore,"Scope of Service
a. Elicit, analyse, and document business and information needs which can be supported by the proposed platform as user stories.
b. Develop project plans, including defining project scope, goals, and deliverables.
c. Develop a prototype or perform data analysis in support of the business needs using any digital means available, such as python, R and Tableau
d. Engage with stakeholders to ensure alignment on project objectives and progress.
e. Perform continuous iteration as required, ensuring that project deliverables meet quality standards and adhere to project requirements.

Work Experience
a. Candidate should have at least a Diploma, with at least one (1) year of experience in data science, AI, business analytics, statistics or/and data discovery and modelling.

Technical Skillset
a. A customer-oriented mindset, with strong analytical and critical thinking skills.
b. Experience in developing prototypes of digital systems using low code platforms, visual mock-ups, wireframe, etc.
c. Able to perform primary and secondary research to inform the design of a product, process or service journey by understanding user behaviours, needs and goals.
d. IT product management skills will be an added advantage.
e. Able to effectively facilitate and collaborate with stakeholders.
f. A team player who can work independently.
g. Self-motivated and resourceful.
h. Keen interest in the latest technologies.

General Skillset
a. Digital BA (Technical) with strong analytical, conceptualisation and problem-solving skills will be an added advantage.
b. Digital BA (Technical) with strong verbal and written communication skills in stakeholders’ engagement will be an advantage.",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
"Business Analyst
",ONYX SG PTE. LTD.,"$5,000 - $7,000 a month "," Permanent, Full-time",Singapore,"Our client is a Multinational Corporation in the aviation industry with HQ in the US, currently seeks a Business Analyst to join their team.
Reporting to the Regional Business Manager, the incumbent will be working as an independent contributor. He / She will be responsible to drive the growth of the business product lines, prepare business plans, analyze the issues, support strategic & financial planning, P&L monitoring & analysis, forecasting, budgeting, and client management.
Successful applicants can look forward to work in a global leading aerospace and defense manufacturers
REQUIREMENTS
Min Bachelor’s degree in Accounting, Finance, or related field
Post-grad qualifications such as ACCA, CFA, CPA, and Masters will be advantageous
At least 4 years of financial analyst working experience
Proficient in Power BI or tableau is a plus
Strong communicator with excellent interpersonal skills
Interested applicants kindly use the apply button or send in your application in MS word format to Anson.lim@onyxrecruit.com.sg. (EA: 18C9213 / R21103164)
We regret that due to potential volume of responses, not all candidates will be contacted.",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
"IT Business Analyst (Temenos Wealth Management Front Office)
",Capgemini,,"Permanent, Full-time",Singapore,"Role Summary:
The Investment services stream is part of multi-year wealth management IT transformation program, which is responsible for the functional implementation of Temenos wealth suite which covers Investment Advisory,
Portfolio Analysis, discretionary portfolio management, market order capture , client suitability check and to adapt its interface with Core banking system,
Order and Execution Management System and Securities Referential
This role is responsible for techno-functional analysis of various sub-streams within IS-streams such as Integration of Client Channels such as e-banking and stay advised ( Advisory channel for clients) which uses Temenos wealth suite as the back end.
Responsibilities:
Perform business analysis and/or acting as point of contact with external vendors/integrators and various business representatives
Ensuring the quality of deliverables from the integrators, involving thorough review, feedback, and alignment with business stakeholders on respective areas
Responsible for enhancing the product backlog with detailed specifications
Clarify and communicate the specifications to all the relevant stakeholders involved
Responsible for gathering and analyzing user requirement and impact analysis during Project preparation phase
Producing / reviewing General/Detailed Functional Specification and communicating to project teams
Learns the system functions / data and is able to define the evolutions of the functional architecture
Responsible for proper documentation of functional and non-functional specifications
Review test cases of SIT tester
Prepare and support UAT
Ensure that risks and issues are escalated to line manager
Contribute to change management
Contribute to support / incident analysis as required
Contribute to defining and implementing a Target Operating Model (TOM) for business processes or adapting the system to meet the TOM defined for each business processes
Technical Requirements :
More than 5+ years of overall experience performing business analysis professional software engineering
Any experience in IT transformation projects involving portfolio management system and/or Core banking applications
Good knowledge of Portfolio Management, Advisory, Risk modelling and Optimization functions is added advantage
Good knowledge of Order Life Cycle and related functions
JIRA and Confluence knowledge is required
Detail oriented and good documentation skill is required
Ability to work in a multicultural environment (Asia + Europe)
Good presentation skills
Knowledge about REST API design standards, patterns and best-practices
REST API development experience is a plus
Experienced in Waterfall and Scrum methodology
Ability to work in fast-paced environments
High level of professionalism, patience and maturity
Team player
Temenos Wealth Management Front Office experienced is a MUST HAVE
Banking knowledge related to Wealth Management / Private banking is a MUST HAVE
Design Thinking knowledge is a plus
Cybersecurity knowledge is a plus
Certified product owner or scrum master certification is a plus
Bachelor’s Degree or equivalent experience required",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
"Business Analyst (SS)
",DSV,,,Singapore 619491,"If you are a current DSV employee and interested in a position in another country, please contact your Human Resource representative to discuss the process and requirements of applying.
About the Company:
DSV is a global supplier of transport and logistics services number four biggest in the world. We have offices in more than 80 countries all over the world and an international network of partners and agents, which makes DSV a truly global player offering services worldwide. We have three divisions, DSV Road, DSV Air & Sea and DSV Solutions.
Telco Operations Support
Handle daily telco related operations across carriers and work closely with carriers’ service teams
Manage telco work groups/ feedback groups and response to inquiries
Collaborate with internal user facing teams to troubleshoot and support resolution
Line management for carriers
Support Line/Device Procurement processes
Support ad-hoc telco audits / process audits
Handle documentations for Telco activities with carriers
Analyze financials, monthly invoices, highlight and resolve disputes/credits/high roaming fees in a timely manner with carriers
Ensuring and monitoring monthly invoices, line counts captured and reach internal systems and are paid on time using the correct invoicing requirements
Monitor Purchase Orders are sufficient for invoicing
Analyze operations dashboards and provide business analysis used to drive change and business decisions
Assist with ongoing operational projects
Possess Data Analytical and Communication Skills
Project Support
Coordinate and support multiple supply chain projects
Review project plans, specifications, and local requirements to determine successful project delivery
Leverage analytical skills to review documents and deployment list to ensure aligns with scope and suitability for environment
High level troubleshooting support including technical, systems and rollouts issues with guidance given
Acts as a POC resource to local workplace team as needed across region
Coordinates work with multiple vendors and teams
Assist with procurement and finance related issues within the area of responsibilities
Other duties as required and assigned
Process Improvement Support
Identify opportunities for process improvement and develop solutions
Assist with system testing, debugging and analysis
Create and maintain Standard Operating Processes and documentation
Assist with global process rollouts
Identify process gaps through daily activities and audits
Able to leverage on internal tools to fix processes and find long term workable solutions\
Other ad-hoc assignments from Management.
To be successful in this role you will require the following:
Min. Diploma in Logistics, supply chain a plus.
Good communication skill in both writing and verbal. Expected to communicate with various parties within the region as the role is also support other countries within the region.
Flexible and open mind to learn new things
Quick learner for Customer operating system (training will be given)
Able to do proper planning (it will added advantage if the candidate come with experience in planning).
Equip with supervisory knowledge and people management skill
Result driven with strong monitoring and follow up skill
Customer oriented
Flexible in job task assignment
Able to work under stress environment with short notice of job task assignment
Inventory management skill.
Key Performance Indicators:
Clarity and accuracy of the deliverables
Feedbacks and comments from stakeholders and end users on communication skills and quality of documents
Team satisfaction on coordination skills and delivery efficiency",PostedPosted 2 days ago,2024-03-21,2024-03-19 00:00:00
