job title,description,company,salary range,url
Data Scientist and Analytics Specialist,"Responsible for enabling decision making by exploring the data, recommending actionable insights, and building visualizations, dashboards.
Packages...",Philips Domestic Appliances Singapore Pte. Ltd.,,
Internship - Data Analytics (BE Industrial Engineering),"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
Data Architect Analyst (6 months internship),-,"Mizuho Bank, Ltd",,
"Internship - ATV Supply Chain Planner, Data Analytics","Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
Data Analyst,"Job Roles:Regular data mining, transformation, visualization, analytics and reporting worksCoordinate with various internal and external technology...",D L Resources Pte Ltd,,
Administrator (Data Analytics),Data Analysis and prepare reports  Manage calendar for VP and the team Schedule and prepare claims submission,IHH Healthcare,,
"Senior Executive / Assistant Manager, Data Analytics & Insights(5861)","Data Analytics & Insights (DAI) team under Group Care Plan Ops will support and work in close partnership with NUHS senior management, Group Specia...",National University Health System,,
"HR Dashboard & Analytics Executive (6 months) | Up $3,500","Executive (HR Dashboard and Analytics)	
Chinatown
6 months (w option to extend)",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),"$3,000 – $3,500 per month",
"Senior Executive / Assistant Manager, Data Analytics & Insights(5861)",-,NUHS Group Ops & IT,,
Data Science Engineer - (Python),To develop models and work with various in-house stakeholders in the manufacturing industry.,GMP Group HQ,"$4,000 – $4,800 per month",
Administrator (Data Analytics),The Role Key accountabilities Data Analysis and prepare reports  Project Management Manage calendar for VP and the team Schedule and coordin,IHH Healthcare,,
Data Analyst,"Responsible for delivering, standardizing and automating data analytic reports, notifications and dashboards.
Job Requirements:
Degree in Computer ...",D L Resources Pte Ltd,,
Data Analyst - SeaMoney Credit,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Senior Data Analyst,We are seeking an experienced Senior Data Analyst to join our dynamic Data Analytics & Insights team. The ideal candidate will have a solid foundat...,Net6tem,,
"Data Analyst, Planning & Budgeting - SG Warehouse",The Business Intelligence and Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As business...,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Analyst (Data Models| SQL | Cloud Data) - West,"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,,
Regional Operations Data Analyst,--,SHOPEE SINGAPORE PRIVATE LIMITED,,
Senior Data Analyst - Marketplace Product,--,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Manager, SIT Teaching and Learning Academy (Data Analytics)",We are looking for an educational data analyst to join our team (SIT Teaching & Learning Academy) and help us leverage data to enhance teaching and...,Singapore Institute of Technology,,
Business Development (Data Analyst) Intern - Revenue Marketing Solutions,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data analyst application,Our client is the leading American laboratory instrument in Manufacturing Industry. They are actively looking to hire a FPNA Data Analyst & Applica...,RGF,,
Business Development (Data Analyst) Intern - Seller Revenue Marketing Solution,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Digital Solution Sales Representative (Data Analytics),The overarching responsibility for the Solution Representative is to deliver project excellence end to end for the account and grow revenue and inc...,IBM SERVICES TALENT DELIVERY PTE. LTD.,,
Regional Data Analyst - APAC,12 Months Contract with MNC Tech Company,Peoplebank Singapore Pte Ltd,$9k - $10k p.m.,
"Executive, Procurement (Data Analytics)","We Know What It Takes, Join Us !",ST Engineering Ltd,,
"Junior Data Analyst - Business Intelligence, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Business Development (Data Analyst) Intern - Revenue Marketing Solutions,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
BI Analyst,Genie Financial Services on a lookout for BI Analyst,Genie Financial Services,,
"Data Analyst Intern - Seller Operations, Regional Operations (Summer 2024)",--,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Analytics - Senior Associate/AVP,· Master or equivalent in Data Science / Computing. Candidates with equivalent academic qualifications in other disciplines but able to showcase ke...,ORIENT FUTURES INTERNATIONAL (SINGAPORE) PTE. LTD.,,
Data scientist,"Whizmeal is seeking a talented freelance Data Scientist to join our team and support our efforts in analyzing data for clients within the F&B, hosp...",WHIZMEAL PTE. LTD.,,
Data Analyst - Search & Recommendation,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Sr Data Analyst (3PL / MNC),An exciting career opportunity for an MNC client in the Logistics & Supply Chain industry.,People Profilers Pte Ltd,,
Temporary Data Scientist (IORA),Temporary Data Scientist (IORA),National University of Singapore,,
Data Scientist,"* Major Foreign-Based Manufacturing Organisation in Singapore
* Key Data Role in Singapore
* Employee-Centric Environment",Hudson Global Resources ( HQ ),to be advised,
Internship - Data Scientist,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
Senior Data Scientist,"As Senior Data Scientist, you will be required to lead the development of distinctive analytical and risk insights that deliver improvements in bus...",Zurich Services (Hong Kong) Limited,,
Data Analyst,"InfoCepts is a global leader of end-to-end data & analytics solutions with nearly 20 years of experience, also named as Gartner’s 2020, 2021 and 20...",InfoCepts Pte. Ltd.,,
Information Technology - Data Scientist (Data Science Track),"SIA has multiple positions for junior and senior data scientists to drive our AI, data science and business analytics initiatives.
Key Responsibili...",Singapore Airlines,,
Data Analyst (Entry level),"Be able to spot patterns and trends in our data, generate insights and hypotheses, and propose solutions to address business or product problems.
B...",Carousell Pte Ltd,,
Risk Data Analyst - SeaMoney Credit,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Manager,Our client seeks a visionary Data Manager to lead the charge in their digital transformation.,Robert Half International Pte Ltd,Competitive,
Business Analyst (ETL/ Data Mapping),We are urgently hiring for a Business Analyst for one of our reputed banking client based in Singapore,JonDavidson Pte Ltd,,
"Data Analyst - Business Intelligence, Regional Operations",--,SHOPEE SINGAPORE PRIVATE LIMITED,,
STAFF DATA SCIENCE ENGINEER,"As a Data Science Engineer at Micron, you will employ techniques and theories drawn from areas of mathematics, statistics, semiconductor physics, m...",MICRON SEMICONDUCTOR ASIA OPERATIONS PTE LTD,,
"Senior Data Analyst, Regional BI & Planning",--,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Analyst (Petrochemical | Oil & Gas | Data Models| SQL | Cloud Data) - West,"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,,
Data scientist,"Whizmeal is seeking a talented freelance Data Scientist to join our team and support our efforts in analyzing data for clients within the F&B, hosp...",WHIZMEAL PTE. LTD.,,
"Data Analyst (Tableau, R, Python, SQL, Power BI, Advance Excel)","This is a new role and exciting opportunity to support business decision-making, strategic development and operational requirements.",Alliance Healthcare Group Limited,,
"Vice President, Business Banking Analytics (Credit Risk Modeling)",-,United Overseas Bank Limited (UOB),,
Data Analyst - MariBank,...,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Data Analyst, Assistant Manager",Good salary package with career advancement opportunities,MCI Career Services Pte Ltd,"$4,800 – $7,200 per month",
BI Analyst,"What you will do:
Data Analysis and Reporting:
Collect, analyze, and interpret business data to provide actionable insights.
Generate regular repor...",Genie Financial Services Pte Ltd,,
"Director, Data and Analytics","The Director, Data and Analytics (Data Engineering) will be embedded within our Mindshare agency team and leverage their experience to drive develo...",GroupM Singapore Pte Ltd,,
"Global Marketing Analytics, Assistant Manager","As a Marketing Analytics Assistant Manager, you will possess strong analytical skills, a deep understanding of marketing principles, and the abilit...",Castlery,,
Senior Data Analyst (1 Year Renewable Contract),We are seeking an experienced Senior Data Analyst to join our dynamic Data Analytics & Insights team. The ideal candidate will have a solid foundat...,FCM,,
Data Analyst (Gaming Industry),Morgan McKinley is hiring a Data Analyst (Gaming Industry) to join the team for a 12 months contract with possibility to extend or to go permanent!,Morgan McKinley,"$7,000 – $10,000 per month",
"Intern - Technology Consulting, Data & Analytics (Off cycle Aug - Dec 2024)",Data Analytics is integrated into all Consulting service offerings and assists clients to leverage data as an asset throughout its business process...,Ernst & Young Solutions LLP,,
FPNA Data Analyst & Application (IMMEDIATE|MNC|Singapore),Our client is the leading American laboratory instrument in Manufacturing Industry.,RGF Talent Solutions Singapore Pte Ltd,,
"Assistant Manager, Data Engineering & Software Development",We invite you to apply and contribute to CAG’s commitment to excellence and innovation.,Changi Airport Group (Singapore) Pte. Ltd.,,
"Senior Executive, NCIS Strategy Execution & Project Management Office (Data)",Data Analyst / Data Scientist,National University Hospital,,
Data Analyst (Oil and Gas | Trading) – 1 year contract,"Perform data collection, cleaning, and analysis tasks to derive actionable insights from trading data, market trends, and other relevant sources.",GMP Group HQ,"$5,000 – $6,500 per month",
"Bioinformatics Specialists (Lab of Systems Biology and Data Analytics), GIS","Bioinformatics Specialists (Laboratory of Systems Biology and Data Analytics), GIS","Agency for Science, Technology and Research (A*STAR)",,
"Data Analyst Intern, Regional BI & Planning (Summer 2024)",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Scientist (Contract),"We seek a data scientist with a profound interest in both theoretical and applied machine learning, thriving in a dynamic work environment. The ide...",TOOKITAKI HOLDING PTE. LTD.,,
Data Analyst,"-Major Foreign-Based Manufacturing Organisation in Singapore
-Key Data Role in Singapore
-Employee-Centric Environment",Hudson Global Resources ( HQ ),To be advised,
"Data Analyst Intern - Customer Service Chatbot, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Backend Engineer - Global E-Commerce (Commercial Platform - Data Intelligence),The Data Intelligence team is responsible for development of data analytics & data-empowered platform capabilities across Global E-Commerce. Our mi...,TIKTOK PTE. LTD.,,
Global Aftersales Analytics Manager,"As a Global Aftersales Analytics Manager, your mission is to help shape and develop the Global Aftersales analytics and reporting landscape. Workin...",Dyson Operations Pte Ltd,,
HR Data Analyst (Bank),"Join as HR Data Specialist—shape impactful analytics, forge partnerships, and drive finance's future in a dynamic team. Your opportunity starts here!",Elitez Pte Ltd,"$4,000 – $6,000 per month",
"Enterprise Analytics, Specialist","Someone who is passionate about pushing boundaries for BI dashboards. From data flows to story-telling, you will be responsible for redefining AIA’...",AIA SINGAPORE PRIVATE LIMITED - GOH HOCK CHYE SAMUEL,,
Internship - Data Science Analyst,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
Data Engineer,Vanguard is a boutique software house that specialises in realising clients' business goals into enterprise grade cloud-native WebApps.,Vanguard Software Pte Ltd,,
Customer Data Specialist (Data Analyst/ SAP/ PowerBI),Our client is an American technology & semiconductor company that primarily supplied programmable logic devices.,Manpower Staffing Services (S) Pte Ltd - Head Office,"$3,500 – $4,000 per month",
Business Intelligence Solution Analyst - SG Business Intelligence,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Executive/Senior Executive, NUHS Education & Research Office(6270)",-,National University Health System,,
Operations Analyst - Logistics/Analytics/Engineering (RPA / Python / Power BI),"AWS+VB
Qualified or interested candidates, please submit updated resume in MS format by using the Apply Now Button or email to beile.lim@cvistahr.com",CVista HR Consulting Pte Ltd,"$3,800 – $4,500 per month",
A&I Data Analyst (Finance),"Business Analyst or Data Analyst experience under Finance, Merchandising, and/or Supply Chain is preferred. Has experience and familiarity in repor...",ECCO Asia Pacific (Singapore) Pte Ltd,,
Data Analyst - AI Innovation Business,"1. Responsible for data analysis related to AI business, including user experience, model effectiveness, etc.
2. Improve data construction, observe...",BYTEDANCE PTE. LTD.,,
"Post Doctoral Fellow (Laboratory of Systems Biology & Data Analytics), GIS","Post Doctoral Fellow (Laboratory of Systems Biology & Data Analytics), GIS","Agency for Science, Technology and Research (A*STAR)",,
Regional Marketplace Operations Data Analyst (Campus Hiring 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Data Analyst (Clinical, Ref:DMOIT)",You will be actively involved in data management of clinical research studies and long-term study databases for STCC. Your responsibilities will in...,National Cancer Centre Singapore Pte Ltd,,
Data Analytics & Insights (Senior Executive),"Data Analytics & Insights (DAI) team under Group Care Plan Ops will support and work in close partnership with NUHS senior management, ",BGC Group Pte Ltd,"$3,500 – $4,800 per month",
"Senior/Executive, Value Based Care",a) The Executive will support the organisation’s strategic growth and development in the area of Value Based Care (VBC) under Clinical & Academic D...,National Healthcare Group Corporate Office (HQ),,
Internship - Data Analyst ( BE Manufacturing Excellence),"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
Data Analyst / Scientist (Healthcare),"A data analyst/ scientist to offer analytics support, with a focus on delivering management information and insights to stakeholders.",GMP Group HQ,"$4,000 – $4,300 per month",
Data Analyst - Insurance,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Engineer (Phillip Nova),"Strong programming skills in languages such as Python, Java, or Scala.
Experience with databases (SQL, NoSQL) and data modeling.",Phillip Nova Pte Ltd,,
Data Analyst,"As a data analyst at Elevate Tech, you will be responsible for analyzing, interpreting, and visualizing data to identify trends and patterns which ...",ELEVATE TECH PTE. LTD.,,
"Assistant Manager, Data and Analytics.",-,Nanyang Technological University,,
"Senior Manager / Manager, Research & Publishing",The prospect is expected to conduct quantitative and qualitative research as well as provide leadership and guidance to junior team members in the ...,Singapore Business Federation,,
Senior data,"We are seeking a skilled Data Modeler to join our team. The Data Modeler will be responsible for designing, implementing, and maintaining data mode...",Allegis Group Singapore Pte Ltd,,
"Enterprise Analytics, Specialist",Assist process owners to achieve success in their process and data workflow transformation journey.,AIA SINGAPORE PRIVATE LIMITED,,
Data Analyst - AI Innovation Business,"1. Responsible for data analysis related to AI business, including user experience, model effectiveness, etc.
2. Improve data construction, observe...",BYTEDANCE PTE. LTD.,,
Business Intelligence Analyst - SG Business Intelligence,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Fraud Data Analyst Intern - Trust and Safety, Regional Operations (Summer 2024)",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Data Engineer/Scientist (Python, Java, Apache Spark, AWS)","As a Battery Insights Date Scientist in Singapore, you will architect and maintain robust data systems. Collaborate with cross-functional teams to ...",Durapower Technology (Singapore) Pte Ltd,,
"Data Scientist (Gen AI), Manager, Data & AI, Technology Consulting","We are looking for a Data Scientist within the DnA team in our Singapore office. This role is offered on a flexible full time basis.
Your key respo...",Ernst & Young Solutions LLP,,
Data Analyst (Banking Enterprise Data Management),"- Assist Enterprise Data Management (EDM) on user queries, data investigation, user acceptance testing, data quality and completeness check, reconc...",D L Resources Pte Ltd,,
Senior Business Intelligence (BI) Data Analyst,"As a Senior BI Data Analyst, you will be an essential part of the GFA team, managing BAU activities and contributing to the delivery of insightful ...",Dyson Operations Pte Ltd,,
Data Science & AI - Classroom Assistant Trainer,Experienced in Data Science & AI through study or work.,Institute Of Data Pte. Ltd.,,
Lead BI Analyst,The role of Lead BI Analyst will be a key member of the GFA team as we continue to produce insightful analytics for our global stakeholders across ...,Dyson Operations Pte Ltd,,
"AVP, Market Data Analyst, Data Strategy Group","You will actively manage GIC’s data through technology-enabled activities such as data sourcing, maintenance, and remediation. Our stewardship ensu...",GIC Private Limited,,
IT Data Analyst,Data Analyst role to analyze data in company perspectives using data virtualization and improvement.,Shimano Singapore Pte Ltd,"$3,400 – $5,000 per month",
Business Intelligence Analyst (Operations) - SG Business Intelligence,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Business Analyst| Data Analytics up to $8K (MNC/ BANK),Participate in data projects for Investment Advisory and Products team ,Adecco Personnel Pte Ltd.,,
Lead Data Scientist II,Operations Research: Understand strategic business objectives and provide advanced analytical research; use statistical and mathematical programmin...,FedEx Express AMEA,,
"Executive/Senior Executive, NUHS Education & Research Office(6270)","To leverage data-driven insights and analysis in support of the overall mission and objectives of NUHS, aiming to improve patient care outcomes, en...",National University Health System,,
MI Analytics Solution Analyst,The role is responsible for implementing the analytics solutions within the Transformation Programme. The individual will work with the FFP Data wo...,Prudential (WM Group- Linda Quah),,
Manufacturing Intelligence Director,The Manufacturing Intelligence Director is a critical transformational role supporting the delivery of GSK’s Smart manufacturing programme focused ...,GlaxoSmithKline Pte Ltd,,
Senior Data Engineer,Senior Data Engineer with a leading banking client,Adecco Personnel Pte Ltd.,9000,
Data Engineer( Sparks Developer ),"Leveraging the latest technology to develop mission critical applications from scratch. design, develop, test and deploy new applications as part o...",TECHNOPALS CONSULTANTS PTE. LTD.,,
"Business Intelligence Analyst - Business Intelligence, Cross Border",The Cross Border team at Shopee empowers sellers from all over the world to sell into the Southeast Asia and Taiwan region. The team helps...,SHOPEE SINGAPORE PRIVATE LIMITED,,
Business Intelligence Analyst,The Business Intelligence Analyst will play a crucial role in extracting meaningful insights from data to contribute to strategic decision-making.,Duotech Pte. Ltd.,"$7,000 – $10,000 per month",
Senior Data Analyst-Customer Service Platform,"1. Responsible for building and improving overseas e-commerce business customer service data evaluation and monitoring system, including service ex...",BYTEDANCE PTE. LTD.,,
Data scientist,"As a data scientist at Elevate Tech, you will be responsible for creating algorithms and models to to improve Elevate Tech’s predictive maintenance...",ELEVATE TECH PTE. LTD.,,
Data Engineer (1-Year Renewable Contract),We are seeking an experienced Data Engineer to join our dynamic Data Analytics & Insights team. The ideal candidate will bring strong technical exp...,FCM,,
Data Engineer Intern - Marketplace Intelligence & Data (Summer 2024),--,SHOPEE SINGAPORE PRIVATE LIMITED,,
Auto-finance Middle Office Intern – Business Analytics,"X Star Technology, a leading fin-tech company, is seeking a motivated, detail-oriented and analytical intern to join our team",X Star Technology Pte Ltd,"$800 – $1,200 per month",
Junior Quantitative Analyst,Junior Quantitative Analyst- Fresh Graduates are welcomed,Ambition Group Singapore Pte. Ltd. (SG),$96000.00 - $120000.00 p.a.,
"Intern - Assurance, Audit Analytics Technology",You will be an integral and trusted member of the Assurance team where you will perform dual roles in helping drive data analytics and automation s...,Ernst & Young Solutions LLP,,
Data Engineer,"Prior experience as a Data Engineer, with a demonstrated capability to design and implement data models, ETL processes, and data integration soluti...",Goldtech Resources Pte Ltd,,
"Senior Consultant, Data & AI Strategy",-,NCS Pte Ltd,"$10,000 – $15,000 per month",
"Data Analyst Intern - Warehouse Operations, Regional Operations (Summer 2024)",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Engineer - Marketplace Intelligence and Data,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
AI Systems Intern,You have a passion for learning. You are passionate about the field of large-scale distributed computing in AI and HPC workloads. You take responsi...,Advanced Micro Devices (S) Pte Ltd,,
"Senior/Executive, Business Analytics",business analytics duties such as preparing and analysing operational data,National Cancer Centre Singapore Pte Ltd,,
Head of Analytics and Business Intelligence,"Are you passionate about shaping the future of data architecture, business intelligence and realize the inherent value? BW LPG, a global leader in ...",Hyperscal Solutions,,
Lead / Senior Emission Analyst,"As a Lead / Senior Emission Analyst in Global Sustainability Team, you will be responsible for leading critical emissions data collection at Micron...",MICRON SEMICONDUCTOR ASIA OPERATIONS PTE LTD,,
Data Analyst (Tableau Engineer),Data Analyst (Tableau Engineer) at Bank - Minimum of 5 years of experience as a Data Analyst,A-IT Software Services Pte Ltd,"$4,000 – $6,000 per month",
Quantitative Analyst,https://chevron.wd5.myworkdayjobs.com/jobs/job/Singapore-Central-Singapore-Singapore/Quantitative-Analyst_R000051224-3,Chevron Singapore Pte Ltd,"$12,000 – $18,000 per month",
Senior Data Scientist.,-,Monetary Authority of Singapore (MAS),,
Data Engineer,You will collaborate with stakeholders to understand their strategic objectives and identify opportunities to leverage data and data quality.,Activate Interactive Pte Ltd,,
Internship - Product Engineering: Data Scientist,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
People Analytics Manager,"As a People Analytics Manager in the People Operations Team at Traveloka, you will work as critical partners to the business. Our focus is on growi...",SG01 Traveloka Technology Pte Ltd,,
"Business Analyst - Seller Operations, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Algorithm Engineer Intern - Marketplace Intelligence and Data (Summer 2024),--,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data engineer - trading,"Our client, a major Systematic Trading firm, is looking to hire an experienced Data Engineer to develop a cutting-edge data platform and work close...",Capital Markets Recruitment,,
Business Analyst Intern - Regional SPX (Spring 2024 & Summer 2024),--,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Engineer,6.Continuous Enhancement: Stay updated on industry trends and best practices in data analysis and engineering. Propose and implement process enhanc...,Goldtech Resources Pte Ltd,,
Data Analyst,"As a Data Engineer, you will:
● Build robust distributed systems to process large scale data streams into useful applications
● Engineer fast, real...",CINCH SG PTE. LTD.,,
"Executive/Senior Executive, NUHS Education & Research Office","To leverage data-driven insights and analysis in support of the overall mission and objectives of NUHS, aiming to improve patient care outcomes, en...",National University Health System,,
"AVP/VP, Data Product Manager (Investment Data Cluster), Data Strategy Group","You will actively manage GIC’s data through technology-enabled activities such as data sourcing, maintenance, and remediation. Our stewardship ensu...",GIC Private Limited,,
Data Product Manager - Marketplace,--,SHOPEE SINGAPORE PRIVATE LIMITED,,
Manager / Assistant Senior Manager (Data Analytics),Manager / Assistant Senior Manager (Data Analytics),National University of Singapore,,
Analyst Programmer,Friendly Environment,OPUS IT Services Pte Ltd,"$4,600 – $4,800 per month",
Senior Data Analyst-Customer Service Platform,"1. Responsible for building and improving overseas e-commerce business customer service data evaluation and monitoring system, including service ex...",BYTEDANCE PTE. LTD.,,
Internship - Supply Chain Data Scientist,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
Data Scientist - Trust and Safety,"We are looking for talented data scientist who can take initiatives, design and develop advanced data-driven solutions. A successful candidate will...",TIKTOK PTE. LTD.,,
Research Engineer/Fellow (Video Analytics) - BH1,"As a University of Applied Learning, SIT works closely with industry in our research pursuits.",Singapore Institute of Technology,,
"Research Fellow, Office for Service Transformation (Contract)","You will support the evaluation of innovation projects, which is a critical step in identifying high impact projects that benefit patients and staff.",Singapore Health Services Pte Ltd (SingHealth HQ),,
Assistant Analyst Manager,MNC Logistics Company,JTE Recruit Pte Ltd,"$5,200 – $7,200 per month",
Data Scientist ,"* Major Foreign-Based Manufacturing Organisation in Singapore
 * Key Data Role in Singapore
 * Employee-Centric Environment",Hudson Global Resources ( HQ ),to be advised ,
Data Scientist,"Aptar Digital Health is a pioneering healthcare technology company, committed to leveraging cutting-edge technologies to solve real-world problems ...",Aptar Digital Health,,
"Fraud Business Analyst - Fraud, Regional Operations",--,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Business Analyst, Regional Operations (Return and Refund)",--,SHOPEE SINGAPORE PRIVATE LIMITED,,
MI Data Sourcing Analyst,The role is responsible for sourcing data for the analytics solutions within the Transformation Programme. The individual will work very closely wi...,Prudential (WM Group- Linda Quah),,
Marketing Intelligence and Data Analyst Intern,We are seeking a highly motivated and detail-oriented Marketing Intelligence and Data Analyst Intern to join our team. This internship offers an ex...,GUARDANT HEALTH PTE. LTD.,,
Data & AI Consulting Manager,-,NCS Pte Ltd,"$10,000 – $15,000 per month",
Data Analyst - Service Channels & Transformation,We are looking for a talented Data Analyst to join our Service Channels and Transformation team. The ideal candidate will have a passion for data a...,OCBC (Singapore),,
Machine Learning Engineer Intern - PaidAds (Summer 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"User Growth Data Analyst, TikTok",About TikTok TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global o...,TIKTOK PTE. LTD.,,
BI Engineer APAC,"In this position, located in Singapore, you are reporting to Chief Business Development Office APAC, who oversees the development of Data Strategy ...",ASENDIA SINGAPORE PTE. LTD.,,
"Manager, AIO Value Driven Outcomes Office","As a Data Insights Manager at NUHS's Value Driven Outcomes Office, you will play a pivotal role in leveraging data from clinical, administrative, a...",National University Health System,,
Medical Statistician (Research/Novena/Office Hours) (ID: 571356),Collaborate with multidisciplinary research team to design and develop methodologies for clinical research and trials,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),,
Business Intelligence Intern (Fall 2023),The Business Intelligence and Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As business...,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Analyst, Assistant Manager (3PL MNC)",Good salary package with career advancement opportunities,MCI Career Services Pte Ltd,"$5,000 – $7,200 per month",
[LTA-RAOM] SENIOR / EXECUTIVE / ENGINEER (DATA STANDARDS AND INFORMATION),"As a key member of the team, you will work collaboratively with cross-functional teams from various disciplines within LTA, rail operators, contrac...",Public Service Division,,
Business Intelligence & Data Analytics Manager/Senior Manager,"6) Conduct in-depth data analysis to identify trends, patterns, and opportunities for process improvement or business growth.
7) Optimize data mode...",CHARLES & KEITH GROUP,,
"VP, Data Governance, Data Management Office","DMO believes that data is key to responsible innovation, growth, and competitive advantage in the banking industry. Our mission is to leverage our ...",United Overseas Bank Limited (UOB),,
Senior Promotion Intelligence Algorithm Engineer - Marketplace Intelligence and,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
