job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay
74702021,Senior Data Analyst Executive,Be a part of Singapore's public health care industry as a Data Analyst!,Dynamic Human Capital Pte Ltd,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,"$3,500 – $4,500 per month",2024-03-25T05:43:48Z,1d ago
74663067,Data Analyst,"Unleash insights as a Data Analyst! Dive into data, drive decisions, and fuel innovation with us. Join now!",NEO GARDEN CATERING PTE. LTD.,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-22T08:44:14Z,4d ago
74704117,"Assistant Manager (Data Analyst), Group Director's Office (2-Year Contract)",We are seeking a highly motivated and skilled Assistant Manager for Data Analysis to support the Applied Sciences Group of HSA. The candidate will ...,Public Service Division,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-03-25T03:53:00Z,1d ago
74716219,Senior Data Analyst,"You will work in the Data Analytics team to deliver significant and action-oriented analyses and recommendations to your stakeholders, to help driv...",Agoda Company Pte. Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T15:05:00Z,22h ago
74668103,"Technical Lead, Data Analytics, Google Cloud - Singapore",The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our pro...,Google Inc.,Central Region,Information & Communication Technology,Programme & Project Management,Full time,,2024-03-22T07:13:00Z,4d ago
74682767,"Lead Project Engineer (IOT, Big Data Analytics)","We are currently seeking a dedicated and detail-oriented individual to join our team as an IOT lead engineer.
The individual should be passionate a...",Illuminating Asia (Singapore) Pte Ltd,Central Region,Engineering,Electrical/Electronic Engineering,Contract/Temp,,2024-03-23T11:34:00Z,3d ago
74734011,Data Scientist (Contract / up to $7K),Data Analyst - Proficient in Python / R & familiar with Machine Learning,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,"$5,500 – $7,000 per month",2024-03-26T06:48:05Z,6h ago
74570578,Intern - Data Analytics and Customer Services,"Understand the overall data landscape of Mercedes-Benz for Region Overseas Market which includes data ingestion, data transformation, data modellin...",Daimler South East Asia Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-19T17:14:00Z,6d ago
74663182,Data Scientist,"Unleash insights as a Data Scientist! Dive into data, drive decisions, and fuel innovation with us. Join now!",NEO GARDEN CATERING PTE. LTD.,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-22T08:48:09Z,4d ago
74526931,Manager / Assistant Senior Manager (Data Analytics),-,National University of Singapore,Central Region,"Manufacturing, Transport & Logistics",Import/Export & Customs,Full time,,2024-03-18T05:13:56Z,8d ago
74568682,"Associate, FCC Data Analytics","· Graduate degree from a recognized university in a related discipline (e.g. Computer Science, Business analytics, Mathematics/Statistics) and/or r...",Standard Chartered Bank,Central Region,Consulting & Strategy,Management & Change Consulting,Full time,,2024-03-19T12:36:00Z,7d ago
74677643,Data Analyst (Petrochemicals | Oil & Gas | Data Models | SQL| Cloud Data),"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-03-23T01:31:04Z,3d ago
74727490,Insights & Analytics Intern (6 months),We are seeking an intern to join the Regional Insight and Analytics team (based in Singapore). Handling a range of data sources and with expertise ...,Universal Music Group,Central Region,Marketing & Communications,Digital & Search Marketing,Full time,,2024-03-26T00:17:00Z,13h ago
74714329,Health Analytics Manager,"As a health analytics manager, you will support the objectives of Prudential's health strategy, develop a roadmap and use cases that align with it,...",Prudential (WM Group- Linda Quah),Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T13:21:00Z,1d ago
74737749,"Data Analyst, Demand Planning and Supply Management","TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headq...",TIKTOK PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-26T05:11:00Z,8h ago
74638263,"Principal Analyst, Group Finance Analytics","You will provide technical advisory to the analysts, establishing data analytics support.",Singapore Health Services Pte Ltd (SingHealth HQ),Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-21T09:52:30Z,5d ago
74601534,18 Months Contract Data Analytics and Operations Manager (#SAF-001),You will be responsible for the day- to-day operations due to an expansion of the the datalake scope from APAC to Global,RECRUIT EXPRESS PTE LTD,Central Region,Information & Communication Technology,Management,Contract/Temp,"$5,000 – $6,000 per month",2024-03-20T08:10:08Z,6d ago
74716190,Product Analyst,"We're seeking a talented Product Analytics professional to join our team. In this role, you'll play a pivotal role in shaping the future of our pro...",Trusty Cars Ltd.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T15:00:00Z,22h ago
74566173,Customer Excellence Data Analytics & Reporting Lead - CASC APAC,"The role of Commercial Excellence Data Analytics and Reporting Lead will build, improve, and execute the customers insights capability for CASC APA...",Cargill International Trading Pte Ltd,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-03-19T10:47:00Z,7d ago
74603575,Data Analyst (Junior/ Entry Level),Work closely & collaborate with cross-functional teams and stakeholders to understand business requirements....,Private Advertiser,North-East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"$3,500 – $4,600 per month",2024-03-20T09:26:13Z,6d ago
74736423,Data Scientist [Data Mining | Machine Learning Algorithms],"3 years of working experience in Data Science, algorithmic engineering, or machine learning.
Data Mining.",The Supreme HR Advisory Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"$10,000 – $15,000 per month",2024-03-26T08:10:53Z,5h ago
74537971,Business Data Analyst (Global),"Key role analyzing large datasets, identifying trends, and providing valuable insights to support strategic decision-making across the organization.",Gradiant International Holdings Pte. Ltd.,West Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-03-18T13:22:05Z,8d ago
74710179,Lead Data Scientist – Construction & Built Environment,Meinhardt Digital Technology Solutions (DTS) is seeking an accomplished and visionary Lead Data Scientist to lead our data science initiatives and ...,Meinhardt Singapore Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T06:03:00Z,1d ago
74737928,Senior Reporting Analyst,Join TDCX and collaborate with a diverse team of talents. Work on exciting projects that help shape the future of leading brands and industries.,TDCX,Central Region,Engineering,Civil/Structural Engineering,Full time,,2024-03-26T06:09:00Z,7h ago
74540291,APAC Head of Data & Analytics - Business Development (Sales),We’re seeking a future team member for the role of APAC Head of Data & Analytics Business Development to join our GROWTH VENTURES team. This role i...,The Bank of New York Mellon,Central Region,Banking & Financial Services,Banking - Corporate & Institutional,Full time,,2024-03-18T16:17:00Z,7d ago
74502829,Data Scientist-Analytics - TikTok,"TikTok-Data Science team is responsible for all data science and analytics related work, cooperating with all key value chains in TikTok, including...",TIKTOK PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-15T20:15:00Z,10d ago
74541074,"Post Doctoral Fellow (Laboratory of Systems Biology & Data Analytics), GIS",We are looking for team members who will develop cutting-edge AI/machine learning methods and pipelines to integrate and interrogate gene expressio...,A*STAR Research Entities (A*STAR),Central Region,Education & Training,Research & Fellowships,Contract/Temp,,2024-03-18T14:22:00Z,7d ago
74717509,Applications Analyst,Perform statistical analysis and use machine learning techniques to build predictive models. Communicate findings and insights to stakeholders usin...,CHARLES & KEITH GROUP,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T15:03:00Z,22h ago
74597066,Data Analyst,Be part of a growing team,PRIMESTAFF MANAGEMENT SERVICES PTE LTD,Central Region,Information & Communication Technology,Database Development & Administration,Full time,"$6,500 – $8,000 per month",2024-03-20T05:36:51Z,6d ago
74511425,Business Risk Specialist - Data & Advanced Analytics,"We support the WM APAC business as the first-line risk management, front line support and control framework owners.",Hays Specialist Recruitment Pte Ltd,Central Region,Banking & Financial Services,Banking - Corporate & Institutional,Contract/Temp,$4000.0 - $6500.0 p.m. + Attractive salary & caree,2024-03-17T07:10:02Z,9d ago
74553451,Senior Data Analyst - Marketplace Product,"The Product Management team at Shopee is the key focal point between the business, engineering and design teams. The team is responsible for implem...",SHOPEE SINGAPORE LITE ADS,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-19T01:49:00Z,7d ago
74734826,Automotive Engineer,Contribute to analytics forums and cross-functional groups by sharing learning within and beyond Global Battery Engineering and Automotive Engineer...,Lexbuild International Pte Ltd,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-26T03:10:00Z,10h ago
74568258,Data Analyst,"Work experience as a data analyst or in a related field.
Ability to work with stakeholders to assess potential risks.
Proficient in Microsoft Excel...",Pan-Malayan Pharmaceuticals Pte Ltd,Central Region,"Manufacturing, Transport & Logistics",Analysis & Reporting,Full time,,2024-03-19T12:35:00Z,7d ago
74668272,Lead Data Scientist,"The ideal candidate will be a strategic thinker with extensive experience in leveraging data analytics, machine learning, and AI to drive innovatio...",Meinhardt Singapore Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-22T07:20:00Z,4d ago
74716332,"Assistant VP, Data Engineer","The Data Engineer, Microsoft BI Developer & Administrator, is a member of the Data Analytics Technology team. This role will be responsible for the...",United Overseas Bank Limited (UOB),Central Region,Information & Communication Technology,Developers/Programmers,Full time,,2024-03-25T14:58:00Z,22h ago
74673207,"[Gov] Data Analytic| Up to $3,700| Central",Looking for a Data Analytic job in Government? Apply Now!,CGP Personnel,Central Region,Information & Communication Technology,Testing & Quality Assurance,Full time,"$2,500 – $3,500 per month",2024-03-22T13:13:15Z,4d ago
74604515,Data Analyst,He or she shall have basic training on IT programming and graduted from IT related with bachelor degree and above He or she shall be fluent in Mand...,LINEAR FURNISHINGS PTE. LTD.,Central Region,Information & Communication Technology,Networks & Systems Administration,Full time,,2024-03-20T05:20:00Z,6d ago
74734734,"Data Scientist, Risk Data Mining - Singapore","- Define risk control measurements. Quantify, generalize and monitor risk related business and operational metrics. Align risk teams and their stak...",TIKTOK PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-26T03:09:00Z,10h ago
74511174,Data Analyst Intern,"Perform data analytics using tools such as Excel, SQL, Python, helping with dashboard development and report generation on a regular basis.
Provide...",INFOSUN LEARNING SYSTEMS PTE. LTD.,Central Region,Banking & Financial Services,Analysis & Reporting,Contract/Temp,,2024-03-17T04:39:00Z,9d ago
74705514,"Assistant/ Deputy Manager, Data Engineering","Your role will involve collecting, processing, storing, and integrating various data sources into Sentosa's Data Lake ecosystem.",Sentosa Development Corporation & Subsidiaries,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-03-25T07:08:49Z,1d ago
74680549,Head of Data | Healthcare [ID:601592],Head of Data Analytics,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Information & Communication Technology,Architects,Full time,,2024-03-23T08:11:19Z,3d ago
74599516,"Manager, Marketing Data Analyst",An exciting opportunity is waiting for you in the newly set up Centre of Excellence (COE) Marketing Experimentation & Personalization team in Chang...,Changi Airport Group (Singapore) Pte. Ltd.,East Region,Marketing & Communications,Market Research & Analysis,Full time,,2024-03-20T04:10:00Z,6d ago
74675649,Senior Analytics Manager (Fulfilment),The Fulfilment Product Analytics Team advances product innovation with analytics and experimentation best practices. We ship a large number of feat...,GRABTAXI HOLDINGS PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-22T15:01:00Z,3d ago
74456924,Data Analyst (Tech MNC/ SQL / Product Analytics / UP5.9K),Data Analyst,Adecco Personnel Pte Ltd.,Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,$5k - $5900 p.m.,2024-03-14T06:26:00Z,12d ago
74734242,Data Engineer,"As part of the Data Analytics team, you will be reporting to the Head of Big Data and Database. You will work with team members and line of...",Phillip Securities Pte Ltd,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-26T06:53:55Z,6h ago
74712833,Strategy Intern,We are seeking a dynamic and motivated intern to join our team as a Strategy Intern. The intern will be responsible for supporting the development ...,Siemens Industry Software Pte Ltd,Central Region,Marketing & Communications,Market Research & Analysis,Full time,,2024-03-25T10:50:00Z,1d ago
74458214,"Intern, Supply Chain Project Assistant - Data Analytics / Project Management","Master’s degree or Undergraduate in Data Analytics, Logistics & Operations Management, or Supply Chain Management.
Experience in Supply Chain / Log...",ROBERT BOSCH (SOUTH EAST ASIA) PTE. LTD.,Central Region,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",Full time,,2024-03-14T04:13:00Z,12d ago
74513879,Data Analyst Intern,"Looking to join a global mission to revolutionize the gaming world? Join Razer, where you'll work with a global team located across 5 continents an...",Razer Inc.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-17T17:39:00Z,8d ago
74426466,"Executive, Procurement (Data Analytics)",We know What It Takes. Join us for an exciting career in Procurement.,ST Engineering Ltd,North-East Region,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",Full time,"$3,500 – $4,500 per month",2024-03-13T08:20:04Z,13d ago
74717234,Data Scientist / Software Engineer,"Under the initial sponsorship of Civil Aviation Authority of Singapore (CAAS), The MITRE Corporation, a U.S.-based, globally renowned research and ...",THE MITRE CORPORATION,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T15:02:00Z,22h ago
74423482,"Manager / Senior Manager, Data & Analytics","To lead in analytics development, managing data projects, and fostering a data-driven culture, requiring expertise in data strategy and visualization.",Sport Singapore,Central Region,Accounting,Audit - External,Full time,,2024-03-13T06:59:45Z,13d ago
74271258,"Senior Executive, NCIS Strategy Execution & Project Management Office (Data)",Data Analyst / Data Scientist,National University Hospital,Central Region,Consulting & Strategy,Strategy & Planning,Full time,,2024-03-26T02:14:35Z,11h ago
74702193,Business Analyst ( Accounting / SQL / 6 Month contract),Business Analyst (Accounting / Finance / SQL / 6 month contract),PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,"$3,500 – $5,000 per month",2024-03-25T05:49:12Z,1d ago
74604170,Summer Internship 2024 - Data Analyst & BI Intern,Join us this Summer for our Structured Internship Program from May to August 2024. In addition to gaining valuable work experience alongside indust...,Munich Reinsurance,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-20T07:24:00Z,6d ago
74502957,Data Analyst (Petrochemicals | Data Models | Cloud Data),"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-16T00:33:06Z,10d ago
74592527,iTero Data and Reporting Intern,We are seeking a highly motivated and analytically skilled Data Analytics Intern to join our team. This position offers an excellent opportunity fo...,Align Technologies Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-20T01:16:00Z,6d ago
74423270,Data Analytics Engineer Lead,Global Data Analytics Engineering Lead in the supply chain industry,Hays Specialist Recruitment Pte Ltd,Central Region,Information & Communication Technology,Architects,Contract/Temp,$10000.0 - $14000.0 p.m.,2024-03-13T06:54:24Z,13d ago
74553753,Data Science Engineer - (Python),To develop models and work with various in-house stakeholders in the manufacturing industry.,GMP Group HQ,West Region,Information & Communication Technology,Management,Full time,"$4,000 – $4,800 per month",2024-03-19T03:26:32Z,7d ago
74702732,"Manager, People Analytics",Develop and implement analytical models to generate HR insights for the business on a global scale to guide decision making and strategic planning,Keppel People Services Pte Ltd,West Region,Human Resources & Recruitment,Other,Full time,,2024-03-25T06:08:05Z,1d ago
74508014,Data Scientist,My client is a global SaaS company with offices across countries. They are forming a Data Science team in Singapore to provide market insights and ...,Dada Consultants,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-16T08:19:34Z,10d ago
74604349,"Data Engineer/Scientist (Python, Java, Apache Spark, AWS)","As a Battery Insights Date Scientist in Singapore, you will architect and maintain robust data systems. Collaborate with cross-functional teams to ...",Durapower Technology (Singapore) Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-20T05:21:00Z,6d ago
74671841,Project Data Analyst (Sales Finance),"- Work with Largest US Consumer Electronics MNC
- Exciting project
- Training provided",Manpower Staffing Services (S) Pte Ltd - Head Office,Central Region,Accounting,Analysis & Reporting,Contract/Temp,"$3,500 – $4,500 per month",2024-03-22T12:54:10Z,4d ago
74562255,Data Scientist,• Specialist role of Data Science • Dynamic and fast-paced working environment • Great career progression opportunities,SATS Ltd.,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-19T07:58:07Z,7d ago
74541659,Intern - Data Science Intern,"We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are commit...",Activate Interactive Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-18T16:22:00Z,7d ago
74540728,Senior Domain Director,"The Senior Director of Advanced Analytics is a senior leadership position responsible for leading a team of data scientists, machine learning engin...",DHL Express (Singapore) Pte. Ltd,Central Region,Information & Communication Technology,Team Leaders,Full time,,2024-03-18T14:26:00Z,7d ago
74725993,"Financial Analyst, Asia (Data Modelling) #JTL",Provides analytical interpretation of Asia's financial results monthly and annually.,RECRUIT EXPRESS PTE LTD,West Region,Accounting,Analysis & Reporting,Full time,"$6,000 – $7,000 per month",2024-03-26T02:54:39Z,10h ago
74458162,"Technical Lead, Data Analytics, Google Cloud","In this role, you will exercise domain expertise and drive engagements with both internal and external audiences. You will stay up-to-date on techn...",Google Inc.,Central Region,Information & Communication Technology,Team Leaders,Full time,,2024-03-13T03:09:00Z,13d ago
74644032,TikTok Ecommerce Anti-Fraud Data Analyst,TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices includ...,TIKTOK PTE. LTD.,Central Region,Sales,New Business Development,Full time,,2024-03-21T18:09:00Z,4d ago
74442930,Data Analyst,Data Analyst,Private Advertiser,West Region,Information & Communication Technology,Business/Systems Analysts,Full time,"$3,000 – $4,000 per month",2024-03-13T23:40:55Z,12d ago
74727390,Data Steward (Salesforce),"As a Salesforce Data Steward you will contribute to the success of our organization by ensuring the reliability, accuracy, and compliance of our Sa...",Seagate International Headquarters Pte. Ltd.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T00:07:00Z,1d ago
74460564,Data / Business Analyst,Work closely & collaborate with cross-functional teams and stakeholders to understand business requirements....,Private Advertiser,North-East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"$3,600 – $4,800 per month",2024-03-14T09:16:57Z,12d ago
74654749,Application Support Analyst,"https://www.titansoft.com/en/career/220

Do you have a keen and methodical eye in solving complex puzzles? Do you carry yourself with confidence in...",Titansoft Pte Ltd,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-03-22T03:55:13Z,4d ago
74676442,"Financial Services, Business Consulting","Development of innovative risk models using artificial intelligence, machine learning and deep learning techniques and alternative data for various...",UNIVERSAL WISDOM PTE. LTD.,Central Region,Banking & Financial Services,Compliance & Risk,Full time,,2024-03-22T17:46:00Z,3d ago
74739468,Senior Software Engineer (Mechanical Engineering & Data Science/AI),The Scientist/Engineer will be part of a newly formed Artificial Intelligence team to create an AI Hub for TE in Singapore.,TE Connectivity Singapore,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-26T10:26:28Z,3h ago
74445124,Data Scientist Analyst,About the role: We are seeking a highly skilled and motivated Healthcare Data Scientist Analyst to join our Global Transformation Company. As a Dat...,SERVITA PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-13T22:04:00Z,12d ago
74445164,Data Analyst EPIC Systems,"About the role: We are seeking a talented and dedicated EPIC Systems Data Analyst to join our Global Transformation Company. As a Data Analyst, you...",SERVITA PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-13T22:04:00Z,12d ago
74665899,Lead Data Scientist II,"Involves providing unique, high impact, technical or expert advice to directors or officers within a region or internationally. Data Science; Advan...",Federal Express (S) Pte Ltd,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-03-22T07:24:00Z,4d ago
74734393,ETF Data Analyst,"Our ETF Data Analysts are a critical function of our ETF trading team. This is an excellent opportunity to become an ETF evaluation expert, make im...",Virtu Financial,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-03-26T03:35:00Z,10h ago
74717352,Service Delivery Analyst - Analytics (Power BI),"Responsible of technology leadership, manage and drive implementation and post implementation support of BI platform using Azure BI technology stac...",World Partners Solution Pte Ltd,Central Region,Information & Communication Technology,Database Development & Administration,Casual/Vacation,,2024-03-25T15:03:00Z,22h ago
74698598,Data Engineer,"Data Pipeline Development: Develop and maintain data pipelines that extract, transform, and load (ETL) data from various sources into a centralized...",Consulting,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T00:54:00Z,1d ago
74492371,Lead Data Analyst (International Centre for Aviation Innovation),"We are looking for a Lead Data Analyst to provide data analytics support to various aviation-related projects on air navigation services, air traff...",Public Service Division,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-15T07:05:00Z,11d ago
74702332,"Assistant VP, System Analyst (Data Lake), Group Markets & Enterprise Technology",-,United Overseas Bank Limited (UOB),Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-03-25T05:53:50Z,1d ago
74741712,Backend Platform Developer Intern - Engineering Infra (Summer 2024),The Engineering and Technology team is at the core of the Shopee platform development. The team is made up of a group of passionate engineers from ...,SHOPEE SINGAPORE LITE ADS,Central Region,Information & Communication Technology,Developers/Programmers,Full time,,2024-03-26T10:18:00Z,3h ago
74651742,"VP, Analytics Assurance, Group Compliance",-,United Overseas Bank Limited (UOB),Central Region,Consulting & Strategy,Management & Change Consulting,Full time,,2024-03-22T03:13:57Z,4d ago
74736724,Data Engineer Trainee/Academy,Hiring to create the future ready Data & Analytics professional!,LUXOFT MALAYSIA SDN. BHD.,Central Region,Information & Communication Technology,Developers/Programmers,Full time,"$2,800 – $3,200 per month",2024-03-26T08:26:50Z,5h ago
74697996,Business Intelligence Analyst - 11 Month Contract,Established bank seeking for a Business Intelligence Analyst to join the team on a 11 month contract,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Banking & Financial Services,Analysis & Reporting,Contract/Temp,"$4,800 – $6,800 per month",2024-03-25T03:35:17Z,1d ago
74731704,Professional Officer (All Levels) in Business Analytics,-,Singapore Institute of Technology,Central Region,Call Centre & Customer Service,Customer Service - Call Centre,Contract/Temp,,2024-03-26T06:00:11Z,7h ago
74679950,"Contractor, Investment Data Analyst 2","The team is responsible for data lifecycle management of mandate structure and Investment critical data attributes, Investment data ownership suppo...",Schroder Investment Management (Singapore) Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-23T03:42:00Z,3d ago
